campaign_event_id,member_id,campaign_id,event_date,channel,event_type,journey_stage
CA-000001,JL-0001,CMP-2005,2026-04-13,Email,Sent,Commerce
CA-000002,JL-0001,CMP-2006,2026-05-27,Email,Sent,Reconnect
CA-000003,JL-0001,CMP-2002,2026-02-13,In App,Click,Education
CA-000004,JL-0001,CMP-2006,2026-02-03,Email,Open,Reconnect
CA-000005,JL-0001,CMP-2006,2026-03-28,Email,Sent,Reconnect
CA-000006,JL-0001,CMP-2006,2025-12-11,Email,Open,Reconnect
CA-000007,JL-0002,CMP-2001,2026-03-05,Email,Sent,Onboarding
CA-000008,JL-0002,CMP-2006,2026-02-03,In App,Sent,Reconnect
CA-000009,JL-0002,CMP-2004,2026-02-25,In App,Sent,Community
CA-000010,JL-0002,CMP-2004,2026-02-15,App Push,Sent,Community
CA-000011,JL-0002,CMP-2003,2026-03-22,In App,Sent,Building
CA-000012,JL-0002,CMP-2006,2026-03-17,Email,Open,Reconnect
CA-000013,JL-0002,CMP-2006,2026-03-22,App Push,Open,Reconnect
CA-000014,JL-0002,CMP-2003,2026-03-03,App Push,Sent,Building
CA-000015,JL-0002,CMP-2004,2025-12-31,Email,Open,Community
CA-000016,JL-0002,CMP-2003,2025-12-19,In App,Sent,Building
CA-000017,JL-0002,CMP-2003,2025-12-22,Email,Sent,Building
CA-000018,JL-0003,CMP-2002,2026-05-04,Email,Click,Education
CA-000019,JL-0003,CMP-2003,2026-05-04,Email,Sent,Building
CA-000020,JL-0003,CMP-2004,2026-02-20,Email,Sent,Community
CA-000021,JL-0003,CMP-2002,2026-03-20,Email,Sent,Education
CA-000022,JL-0003,CMP-2006,2026-04-10,App Push,Open,Reconnect
CA-000023,JL-0003,CMP-2004,2026-04-01,Email,Sent,Community
CA-000024,JL-0003,CMP-2002,2026-03-13,Email,Open,Education
CA-000025,JL-0003,CMP-2006,2026-04-23,Email,Click,Reconnect
CA-000026,JL-0004,CMP-2001,2026-01-27,Email,Sent,Onboarding
CA-000027,JL-0004,CMP-2001,2026-05-02,Email,Unsubscribe,Onboarding
CA-000028,JL-0004,CMP-2001,2025-12-26,Email,Sent,Onboarding
CA-000029,JL-0004,CMP-2005,2026-02-24,In App,Sent,Commerce
CA-000030,JL-0004,CMP-2002,2026-03-20,Email,Open,Education
CA-000031,JL-0004,CMP-2002,2026-01-28,Email,Sent,Education
CA-000032,JL-0004,CMP-2003,2026-01-04,Email,Sent,Building
CA-000033,JL-0004,CMP-2005,2026-02-12,Email,Sent,Commerce
CA-000034,JL-0004,CMP-2002,2026-03-03,Email,Unsubscribe,Education
CA-000035,JL-0005,CMP-2006,2026-01-21,App Push,Sent,Reconnect
CA-000036,JL-0005,CMP-2002,2025-12-31,App Push,Click,Education
CA-000037,JL-0005,CMP-2005,2026-05-16,App Push,Sent,Commerce
CA-000038,JL-0005,CMP-2006,2026-01-09,Email,Sent,Reconnect
CA-000039,JL-0005,CMP-2004,2026-04-13,In App,Sent,Community
CA-000040,JL-0006,CMP-2006,2026-01-25,App Push,Click,Reconnect
CA-000041,JL-0006,CMP-2006,2026-04-17,In App,Sent,Reconnect
CA-000042,JL-0006,CMP-2006,2026-02-10,App Push,Conversion,Reconnect
CA-000043,JL-0006,CMP-2001,2026-02-23,App Push,Preference Updated,Onboarding
CA-000044,JL-0006,CMP-2006,2026-06-05,Email,Open,Reconnect
CA-000045,JL-0006,CMP-2006,2026-02-08,App Push,Sent,Reconnect
CA-000046,JL-0007,CMP-2001,2026-04-16,Email,Sent,Onboarding
CA-000047,JL-0007,CMP-2002,2026-04-15,Email,Sent,Education
CA-000048,JL-0007,CMP-2004,2026-05-10,App Push,Sent,Community
CA-000049,JL-0007,CMP-2003,2026-02-06,In App,Dismiss,Building
CA-000050,JL-0007,CMP-2006,2025-12-21,In App,Sent,Reconnect
CA-000051,JL-0007,CMP-2004,2026-02-25,Email,Open,Community
