interaction_id,member_id,content_id,interaction_date,interaction_type,session_context,engagement_depth
CI-000001,JL-0001,CNT-001,2026-05-21,View,Evening,3
CI-000002,JL-0001,CNT-001,2026-04-07,Save,Morning,2
CI-000003,JL-0001,CNT-003,2026-03-21,View,Weekend,3
CI-000004,JL-0001,CNT-001,2026-02-17,Complete,Midday,2
CI-000005,JL-0001,CNT-001,2026-05-31,Save,Midday,5
CI-000006,JL-0001,CNT-009,2026-04-10,Dismiss,Midday,3
CI-000007,JL-0001,CNT-009,2026-06-04,View,Unknown,5
CI-000008,JL-0001,CNT-009,2026-03-18,Save,Weekend,3
CI-000009,JL-0002,CNT-008,2026-05-16,Save,Midday,2
CI-000010,JL-0002,CNT-010,2026-05-27,Complete,Weekend,5
CI-000011,JL-0002,CNT-005,2026-04-04,Search,Evening,4
CI-000012,JL-0002,CNT-006,2026-03-29,Share,Evening,1
CI-000013,JL-0002,CNT-004,2026-06-05,View,Unknown,2
CI-000014,JL-0002,CNT-005,2026-04-16,View,Evening,2
CI-000015,JL-0002,CNT-004,2026-04-09,Dismiss,Unknown,5
CI-000016,JL-0002,CNT-010,2026-04-13,Complete,Morning,4
CI-000017,JL-0002,CNT-006,2026-04-11,Dismiss,Morning,4
CI-000018,JL-0002,CNT-010,2026-03-04,View,Evening,5
CI-000019,JL-0002,CNT-010,2026-03-26,Dismiss,Evening,5
CI-000020,JL-0002,CNT-009,2026-03-19,View,Weekend,4
CI-000021,JL-0002,CNT-003,2026-04-17,Save,Weekend,3
CI-000022,JL-0002,CNT-005,2026-04-15,Save,Morning,4
CI-000023,JL-0002,CNT-004,2026-05-06,Complete,Morning,2
CI-000024,JL-0002,CNT-006,2026-02-13,View,Morning,3
CI-000025,JL-0002,CNT-010,2026-05-11,View,Morning,3
CI-000026,JL-0002,CNT-001,2026-02-09,Complete,Morning,4
CI-000027,JL-0002,CNT-006,2026-04-06,View,Midday,1
CI-000028,JL-0002,CNT-004,2026-03-25,Complete,Evening,1
CI-000029,JL-0002,CNT-004,2026-04-01,View,Weekend,2
CI-000030,JL-0003,CNT-009,2026-05-23,View,Weekend,2
CI-000031,JL-0003,CNT-009,2026-05-18,Complete,Evening,4
CI-000032,JL-0003,CNT-004,2026-02-10,Complete,Morning,2
CI-000033,JL-0003,CNT-001,2026-04-05,View,Midday,2
CI-000034,JL-0003,CNT-010,2026-05-13,View,Midday,2
CI-000035,JL-0003,CNT-009,2026-05-27,View,Weekend,2
CI-000036,JL-0003,CNT-009,2026-04-27,View,Evening,2
CI-000037,JL-0003,CNT-004,2026-05-25,Search,Weekend,3
CI-000038,JL-0003,CNT-004,2026-04-02,Complete,Morning,2
CI-000039,JL-0003,CNT-010,2026-03-16,Save,Weekend,1
CI-000040,JL-0003,CNT-009,2026-04-25,Save,Midday,5
CI-000041,JL-0003,CNT-007,2026-04-12,View,Weekend,1
CI-000042,JL-0003,CNT-001,2026-06-03,View,Morning,4
CI-000043,JL-0003,CNT-001,2026-05-02,View,Weekend,3
CI-000044,JL-0003,CNT-004,2026-04-02,View,Morning,5
CI-000045,JL-0003,CNT-002,2026-04-16,View,Midday,3
CI-000046,JL-0003,CNT-010,2026-02-25,Complete,Evening,3
CI-000047,JL-0003,CNT-009,2026-04-03,View,Unknown,4
CI-000048,JL-0003,CNT-010,2026-03-11,Save,Evening,4
CI-000049,JL-0003,CNT-004,2026-03-28,View,Unknown,2
CI-000050,JL-0003,CNT-004,2026-03-16,Share,Unknown,3
CI-000051,JL-0003,CNT-001,2026-04-19,Save,Morning,2
CI-000052,JL-0003,CNT-010,2026-04-18,Save,Morning,4
CI-000053,JL-0003,CNT-010,2026-04-17,View,Evening,5
CI-000054,JL-0003,CNT-009,2026-02-18,Search,Weekend,4
CI-000055,JL-0003,CNT-001,2026-02-13,View,Weekend,2
CI-000056,JL-0003,CNT-009,2026-05-03,Save,Weekend,4
CI-000057,JL-0003,CNT-001,2026-06-07,View,Morning,2
CI-000058,JL-0003,CNT-009,2026-02-28,Complete,Morning,4
CI-000059,JL-0003,CNT-001,2026-04-11,View,Morning,2
CI-000060,JL-0003,CNT-001,2026-03-06,Search,Evening,3
CI-000061,JL-0003,CNT-009,2026-05-11,View,Midday,2
CI-000062,JL-0003,CNT-009,2026-06-03,Complete,Weekend,2
CI-000063,JL-0003,CNT-001,2026-04-27,View,Morning,4
CI-000064,JL-0003,CNT-004,2026-03-19,Save,Morning,3
CI-000065,JL-0003,CNT-001,2026-03-21,Save,Evening,2
CI-000066,JL-0003,CNT-001,2026-02-26,Complete,Midday,1
CI-000067,JL-0003,CNT-007,2026-05-01,Search,Morning,5
CI-000068,JL-0003,CNT-010,2026-03-06,View,Unknown,4
CI-000069,JL-0003,CNT-001,2026-02-20,Complete,Unknown,1
CI-000070,JL-0003,CNT-001,2026-03-19,Complete,Midday,2
CI-000071,JL-0003,CNT-001,2026-04-12,View,Midday,3
CI-000072,JL-0003,CNT-009,2026-03-17,Save,Midday,3
CI-000073,JL-0003,CNT-006,2026-04-05,View,Midday,4
CI-000074,JL-0003,CNT-001,2026-03-26,Complete,Unknown,4
CI-000075,JL-0003,CNT-009,2026-03-17,Complete,Unknown,2
CI-000076,JL-0003,CNT-007,2026-03-31,View,Morning,3
CI-000077,JL-0003,CNT-004,2026-03-24,Save,Evening,2
CI-000078,JL-0004,CNT-001,2026-05-19,View,Morning,3
CI-000079,JL-0004,CNT-007,2026-05-27,View,Morning,2
CI-000080,JL-0004,CNT-002,2026-05-11,Share,Evening,4
CI-000081,JL-0004,CNT-008,2026-05-21,Save,Unknown,4
CI-000082,JL-0004,CNT-002,2026-06-06,Complete,Morning,3
CI-000083,JL-0004,CNT-006,2026-04-19,View,Midday,3
CI-000084,JL-0004,CNT-002,2026-04-06,Search,Evening,3
CI-000085,JL-0004,CNT-010,2026-04-16,Search,Weekend,5
CI-000086,JL-0004,CNT-008,2026-03-09,View,Weekend,4
CI-000087,JL-0004,CNT-008,2026-03-28,Complete,Evening,4
CI-000088,JL-0004,CNT-008,2026-04-04,View,Evening,4
CI-000089,JL-0004,CNT-002,2026-02-10,View,Weekend,2
CI-000090,JL-0004,CNT-004,2026-03-17,Save,Weekend,2
CI-000091,JL-0004,CNT-002,2026-03-12,View,Unknown,1
CI-000092,JL-0004,CNT-004,2026-04-03,Save,Evening,3
CI-000093,JL-0004,CNT-008,2026-03-08,Save,Unknown,2
CI-000094,JL-0004,CNT-002,2026-03-18,Save,Evening,5
CI-000095,JL-0004,CNT-006,2026-03-04,View,Evening,1
CI-000096,JL-0004,CNT-007,2026-02-09,View,Morning,3
CI-000097,JL-0004,CNT-008,2026-05-03,View,Unknown,4
CI-000098,JL-0004,CNT-006,2026-02-27,Save,Weekend,4
CI-000099,JL-0004,CNT-002,2026-03-14,Search,Unknown,3
CI-000100,JL-0004,CNT-009,2026-03-06,Dismiss,Midday,3
CI-000101,JL-0004,CNT-002,2026-06-02,Search,Morning,5
CI-000102,JL-0004,CNT-006,2026-02-10,Search,Evening,3
CI-000103,JL-0004,CNT-010,2026-03-13,Complete,Evening,2
CI-000104,JL-0004,CNT-008,2026-04-11,Save,Unknown,3
CI-000105,JL-0004,CNT-006,2026-05-14,Search,Evening,3
CI-000106,JL-0004,CNT-004,2026-02-21,View,Midday,3
CI-000107,JL-0004,CNT-008,2026-06-07,Complete,Midday,1
CI-000108,JL-0004,CNT-006,2026-05-19,View,Midday,2
CI-000109,JL-0004,CNT-002,2026-03-08,Share,Weekend,3
CI-000110,JL-0004,CNT-002,2026-04-15,View,Weekend,1
CI-000111,JL-0004,CNT-001,2026-03-11,Share,Unknown,4
CI-000112,JL-0004,CNT-002,2026-05-09,Save,Weekend,3
CI-000113,JL-0004,CNT-006,2026-02-18,Save,Unknown,3
CI-000114,JL-0004,CNT-002,2026-04-12,Search,Midday,3
CI-000115,JL-0004,CNT-001,2026-04-28,Complete,Weekend,4
CI-000116,JL-0004,CNT-003,2026-02-13,View,Evening,3
CI-000117,JL-0004,CNT-006,2026-03-14,View,Morning,4
CI-000118,JL-0004,CNT-002,2026-04-07,View,Unknown,3
CI-000119,JL-0005,CNT-004,2026-04-25,View,Weekend,3
CI-000120,JL-0005,CNT-010,2026-05-26,Complete,Unknown,3
CI-000121,JL-0005,CNT-002,2026-06-06,Dismiss,Weekend,5
CI-000122,JL-0005,CNT-004,2026-03-03,Complete,Evening,1
CI-000123,JL-0005,CNT-010,2026-02-16,Complete,Midday,4
CI-000124,JL-0005,CNT-005,2026-04-27,Search,Morning,1
CI-000125,JL-0005,CNT-005,2026-02-27,View,Evening,2
CI-000126,JL-0005,CNT-004,2026-04-02,View,Morning,4
CI-000127,JL-0005,CNT-004,2026-05-29,View,Unknown,1
CI-000128,JL-0005,CNT-010,2026-05-07,View,Morning,4
CI-000129,JL-0005,CNT-007,2026-02-25,View,Morning,1
CI-000130,JL-0005,CNT-004,2026-03-01,Search,Weekend,5
CI-000131,JL-0005,CNT-004,2026-02-17,View,Morning,4
CI-000132,JL-0005,CNT-010,2026-04-06,View,Weekend,2
CI-000133,JL-0005,CNT-010,2026-03-01,View,Unknown,3
CI-000134,JL-0005,CNT-002,2026-03-03,Search,Weekend,3
CI-000135,JL-0005,CNT-004,2026-05-23,Share,Evening,2
CI-000136,JL-0005,CNT-003,2026-05-05,Save,Unknown,1
CI-000137,JL-0005,CNT-005,2026-05-01,Save,Evening,4
CI-000138,JL-0005,CNT-004,2026-03-12,Save,Evening,5
CI-000139,JL-0005,CNT-005,2026-05-14,Complete,Weekend,1
