event_id,member_id,event_date,event_type,source,related_habit_interest
ME-000001,JL-0001,2026-02-27,Plan Started,Web,Rest
ME-000002,JL-0001,2026-03-29,Plan Renewed,Web,Rest
ME-000003,JL-0001,2026-03-13,Routine Started,Support,Rest
ME-000004,JL-0001,2026-05-28,Routine Completed,Email,Rest
ME-000005,JL-0001,2026-04-30,Plan Renewed,Web,Mindful
ME-000006,JL-0001,2026-03-17,Plan Renewed,App Push,Rest
ME-000007,JL-0001,2026-04-28,Preference Updated,SMS,Rest
ME-000008,JL-0002,2026-05-25,Plan Started,App,Nourish
ME-000009,JL-0002,2026-06-01,Routine Completed,Web,Nourish
ME-000010,JL-0002,2026-05-31,Plan Renewed,Web,Nourish
ME-000011,JL-0002,2026-06-07,Routine Completed,Email,Nourish
ME-000012,JL-0003,2026-04-29,Plan Started,Web,Mindful
ME-000013,JL-0003,2026-05-27,Community Joined,Web,Mindful
ME-000014,JL-0003,2026-05-27,Community Joined,Web,Nourish
ME-000015,JL-0003,2026-05-04,Routine Completed,App Push,Mindful
ME-000016,JL-0003,2026-04-30,Plan Paused,Support,Mindful
ME-000017,JL-0004,2026-01-02,Plan Started,Web,Move
ME-000018,JL-0004,2026-01-25,Preference Updated,Support,Move
ME-000019,JL-0004,2026-02-24,Community Joined,SMS,Move
ME-000020,JL-0004,2026-05-11,Community Joined,Web,Connect
ME-000021,JL-0004,2026-05-05,Routine Completed,Web,Move
ME-000022,JL-0004,2026-05-29,Routine Started,Support,Move
ME-000023,JL-0004,2026-02-16,Plan Paused,Email,Move
ME-000024,JL-0004,2026-05-04,Plan Renewed,SMS,Move
ME-000025,JL-0004,2026-03-15,Preference Updated,Support,Move
ME-000026,JL-0004,2026-03-03,Routine Started,Support,Move
ME-000027,JL-0005,2025-12-01,Plan Started,Email,Rest
ME-000028,JL-0005,2026-06-02,Routine Started,App Push,Rest
ME-000029,JL-0005,2026-03-25,Routine Started,Web,Rest
ME-000030,JL-0005,2026-06-01,Routine Started,Support,Nourish
