member_id,email_permission,sms_permission,app_push_permission,quiet_hours_preference,message_tone_preference,reminder_frequency_preference,commerce_interest_level,community_interest_level
JL-0001,false,true,false,No Preference,Guided,Low,High,Medium
JL-0002,true,false,true,No Preference,Guided,High,Medium,Medium
JL-0003,true,false,true,Morning,Calm,Low,Medium,Medium
JL-0004,true,false,true,Evening,Practical,Low,Medium,Low
JL-0005,true,false,true,Morning,Calm,Low,High,Medium
JL-0006,true,true,false,No Preference,Practical,Low,Medium,Medium
JL-0007,true,true,true,Morning,Guided,High,Medium,Medium
JL-0008,true,false,false,No Preference,Calm,Medium,High,Medium
JL-0009,true,false,false,Morning,Social,Medium,Medium,High
JL-0010,true,false,true,Afternoon,Practical,Medium,Medium,High
JL-0011,true,false,true,Afternoon,Social,Medium,Medium,Medium
JL-0012,true,false,false,Evening,Practical,Medium,Medium,Medium
JL-0013,true,true,true,Morning,Calm,Medium,High,Low
JL-0014,true,false,false,Evening,Practical,High,Medium,Medium
JL-0015,true,false,true,No Preference,Guided,High,Medium,Medium
JL-0016,true,false,false,Afternoon,Practical,Low,Medium,Medium
JL-0017,true,false,false,Afternoon,Practical,Medium,Medium,Medium
JL-0018,true,true,false,Afternoon,Practical,Low,Medium,Medium
JL-0019,true,true,true,Morning,Social,Medium,Medium,Medium
JL-0020,true,true,true,Afternoon,Calm,Medium,Low,Medium
JL-0021,true,false,true,Morning,Social,Low,Medium,Medium
JL-0022,true,false,false,Morning,Guided,Medium,Low,Medium
JL-0023,true,false,false,Evening,Practical,Medium,Medium,Medium
JL-0024,true,false,true,Evening,Calm,Medium,Low,Medium
JL-0025,true,false,true,No Preference,Practical,Medium,Medium,Medium
JL-0026,true,false,true,Morning,Practical,Medium,Low,Medium
JL-0027,false,false,true,No Preference,Practical,Medium,Medium,Medium
JL-0028,true,false,true,Evening,Guided,Low,Medium,Medium
JL-0029,true,true,false,No Preference,Calm,Low,Medium,High
JL-0030,true,false,true,Evening,Calm,High,Medium,Medium
JL-0031,true,false,true,Morning,Calm,High,Low,Medium
JL-0032,true,false,true,Afternoon,Practical,Medium,Medium,Medium
JL-0033,true,false,true,Evening,Guided,Medium,Medium,Medium
